288998070705911, 281498310692304, 225433163951734 @ -63, 25, 66
267942038821112, 319206560980050, 228821793591214 @ 97, -61, 70
444805588706877, 248504563833176, 237588696365934 @ -167, 337, 94
394123042863727, 301207059897078, 223821779603118 @ 55, -100, 150
424620891492545, 267086986001496, 243127954482382 @ -159, 86, 38
420867454565189, 397096302024900, 185373676874602 @ -103, -648, 369
81469624308455, 459809787064806, 324360582833494 @ 57, -158, -46
374351916393457, 251260699530984, 272569599921454 @ -185, 77, -13
274270181527553, 222998389305870, 192244232511682 @ 216, 194, 188
420909415882706, 308576121555582, 306893944197334 @ -229, -49, -130
255271115140772, 383299865656770, 526422353795035 @ -79, -101, -315
289681549037104, 161819934078320, 200989619113147 @ 239, 421, 179
365086463005105, 372118714233220, 71077692961746 @ 16, -311, 666
261038668734690, 306445753317928, 277042740696425 @ 131, -35, -41
438179998038104, 279901072723140, 266160038407507 @ -35, 17, -259
409853164949808, 283630297416922, 242168581023471 @ 41, -5, 45
370770040636233, 195688704324883, 483289364120658 @ -8, 330, -830
448114866360209, 278579433956404, 223519614403834 @ -96, 36, 389
441842816549699, 265398440832240, 215712428346754 @ -191, 129, 240
377614468598480, 353651317608841, 213428626621665 @ -45, -230, 141
155243887484345, 160800080687232, 318491731769632 @ 172, 225, -87
192363458306495, 266153396803486, 230310867812228 @ -63, 42, 51
154198821719384, 281642861357643, 300138682674446 @ 9, 26, -26
401628395673753, 305312019110912, 208398332077934 @ 71, -150, 274
162061078509944, 378452509193094, 291853844630686 @ -41, -69, -10
96849558549729, 43756579183290, 37999549578007 @ 64, 287, 263
402178285015309, 361020004734012, 445413566646318 @ -106, -289, -746
371869863945721, 398415925875047, 206228332687897 @ -8, -408, 173
169726839216270, 422130176146329, 236869607261718 @ 37, -154, 46
337930748325354, 282052566517390, 245901829221757 @ 65, 19, 29
56259461745443, 216429925351065, 196431004417526 @ 150, 104, 94
397790576142248, 354727035189891, 249140379221767 @ -177, -160, 23
394416633005907, 334320395351318, 515469113809718 @ -199, -84, -518
332950116217841, 270371708297208, 260734970319838 @ -22, 50, -5
377251051738595, 371826982533978, 111637729535626 @ 37, -382, 620
326331375676049, 303379952017360, 445914308537902 @ -48, -23, -394
337714586487335, 167833169406491, 305755822018593 @ 6, 336, -135
184366366583048, 332023430286206, 294351489335894 @ -33, -29, -18
199123322155967, 325772636484311, 290697355903064 @ 6, -32, -24
233078936920859, 322033366231404, 225797769957916 @ 99, -53, 71
413376459307183, 205525109792909, 235614753416921 @ -22, 508, 87
322460323968538, 101297647815098, 183799039394989 @ 107, 595, 227
233018232482549, 94151034586215, 235660502002082 @ 276, 524, 58
295272941157665, 178187206504824, 195176936665310 @ 243, 380, 205
165034701468909, 351657760393712, 336856285247738 @ -26, -47, -60
433237329416029, 270125008524992, 243539371921854 @ -61, 115, 34
353217020314203, 339868101887708, 509073250088122 @ -55, -129, -652
256553285603104, 275776161508290, 246854663441957 @ 49, 35, 31
225726695188752, 428339000315733, 507106276700169 @ -85, -130, -243
425519093534540, 280071498300710, 248633028617732 @ -9, 19, -12
137762848464413, 330136823896224, 264300233277934 @ 31, -29, 14
285898355383463, 313187470458996, 186565180078018 @ 167, -69, 200
136474149638269, 255250755160074, 343277918472994 @ 34, 56, -76
433027514158188, 288226744462803, 248391318574259 @ -179, -22, 9
113585535083489, 434328285131496, 434897740903798 @ 94, -163, -199
310240824330179, 367722269849376, 203122414411501 @ 114, -235, 157
251671910258189, 302073276294360, 244411442972422 @ -9, -7, 36
185455577741909, 294567472210240, 297717415060482 @ 18, 9, -32
268973436695519, 339083292584808, 237022747307029 @ 74, -99, 51
372408256616361, 289591631416367, 219554187097305 @ 8, -12, 129
89623537310195, 327931942381954, 372302867346870 @ 21, -18, -86
384285126899999, 312935235075720, 268928102333962 @ 137, -179, -120
350212594951181, 195703937342982, 182295918190036 @ 180, 415, 320
299590105860959, 260734878460265, 218327531664192 @ -114, 54, 72
426948627245063, 299197245361948, 202674430705766 @ -42, -143, 382
384599460236679, 227112403826640, 365858742980282 @ -158, 149, -246
226922427208622, 114480932652519, 395033605240685 @ -75, 212, -131
348637262398866, 237811980845223, 286693387089069 @ 133, 200, -143
416996491180605, 269460121159264, 249180003227894 @ -130, 73, 10
